word,count
разработка,222
обязанности,154
знание,111
программного,102
требования,102
компания,95
занимаемся,95
разработкой,86
ищем,77
привет,77
lte,68
взаимодействия,68
кода,68
ti,68
библиотек,68
нового,68
игрового,68
решений,68
любишь,68
игр,61
большая,52
московская,52
специализирующаяся,52
программноаппаратных,52
bb,52
bc,52
решениях,52
области,52
транспортных,52
услуг,52
проблемами,52
мониторинга,52
управления,52
общественным,52
транспортом,52
землей,52
контролем,52
лет,52
оборудования,43
c,43
нашу,43
игровой,43
хорошее,43
приглашает,43
разработчика,43
оптимизация,43
международная,43
игровая,43
студия,43
saber,43
interactive,43
видео,43
pc,43
игровых,43
консолей,43
скорее,43
знакомы,43
нашими,43
проектами,43
quake,43
champions,43
inversion,43
timeshift,43
halo,43
nba,43
обеспечения,34
интернета,34
вещей,34
архитектуре,34
arm,34
catm,34
nbiot,34
gps,34
gprs,34
bluetooth,34
языка,34
принципов,34
организации,34
процессовпотоков,34
dsp,34
процессоров,34
решение,34
задач,34
цифровой,34
фильтрации,34
сигналов,34
формирование,34
радиолокационных,34
изображений,34
языки,34
программирования,34
cx,34
программиста,34
танцевальную,34
ммо,34
soul,34
dance,34
party,34
souldancepartycom,34
системных,34
логики,34
серверной,34
части,34
игры,34
msvc,34
минимум,34
овермайнд,34
опытного,34
серверного,34
разработки,34
проекта,34
клиентсерверного,34
функционала,34
проектирование,34
серверных,34
доктор,34
веб,34
занимается,34
сфере,34
информационной,34
безопасности,34
наша,34
цель,34
создавать,34
лучшие,34
средства,34
антивирусной,34
защиты,34
отвечающие,34
всем,34
современным,34
требованиям,34
начинающих,34
программистовисследователей,34
командный,34
игрок,34
highload,34
менторить,34
людей,34
передавать,34
свои,34
знания,34
очарован,34
функциональным,34
подходом,34
хочешь,34
забыть,34
ооп,34
продуктовую,34
разработку,34
насчет,34
архитектурных,34
разработанных,34
проектов,18
xbox,18
опыт,18
работы,18
обеспечение,18
senior,9
java,9
готового,9
влиться,9
новую,9
команду,9
главной,9
целью,9
которого,9
является,9
продукта,9
соответствии,9
глобальными,9
целями,9
задачами,9
бизнеса,9
разрабатываемая,9
система,9
представляет,9
собой,9
модуль,9
gaijin,9
entertainment,9
это,9
профессионалов,9
индустрии,9
занимающихся,9
различных,9
платформах,9
pcps,9
onemaclinuxios,9
android,9
портфолио,9
команды,9
завоевавших,9
множество,9
наград,9
портирование,9
консоли,9
ps,9
one,9
switch,9
наши,9
ожидания,9
unity,9
х,9
портирования,9
мобильные,9
консольные,9
платформы,9
умение,9
южнокорейская,9
производственная,9
sungwoo,9
hitech,9
rus,9
поставщик,9
автокомпонентов,9
hyundai,9
кандидатов,9
позицию,9
инженера,9
асу,9
тп,9
бесперебойной,9
производственного,9
,0
